               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036216,            0.057146,           0.0098027,              0.6942,              0.6823,             0.69602,             0.44166,            0.031157,              0.0504,            0.011124,           0.0075678,           0.0075678,           0.0075678
                  37,            0.036038,            0.056542,           0.0096546,             0.72821,             0.66895,             0.69545,             0.44115,             0.03119,            0.050406,            0.011092,             0.00748,             0.00748,             0.00748
                  38,            0.036102,            0.057849,           0.0095713,             0.70709,             0.68236,             0.70305,             0.44522,            0.031123,            0.050352,            0.010996,           0.0073922,           0.0073922,           0.0073922
                  39,             0.03625,            0.057772,            0.009387,             0.71863,             0.67442,             0.70203,             0.44569,            0.031147,            0.050416,            0.011032,           0.0073044,           0.0073044,           0.0073044
                  40,            0.036101,             0.05775,           0.0094569,             0.72094,             0.67792,             0.70452,             0.44502,            0.031097,            0.050414,            0.011097,           0.0072166,           0.0072166,           0.0072166
                  41,            0.035948,            0.056465,           0.0092747,             0.72982,             0.67017,             0.70376,             0.44672,            0.031077,            0.050493,            0.011067,           0.0071289,           0.0071289,           0.0071289
                  42,            0.035591,            0.055064,           0.0092823,             0.69392,             0.68453,              0.6982,             0.44375,            0.031086,            0.050581,            0.011086,           0.0070411,           0.0070411,           0.0070411
                  43,            0.036131,            0.056963,           0.0090127,             0.69738,             0.68419,             0.69965,             0.44516,            0.031102,            0.050696,            0.011217,           0.0069533,           0.0069533,           0.0069533
                  44,            0.035656,            0.055348,           0.0090294,             0.68931,             0.69206,             0.69828,             0.44404,            0.031055,            0.050661,            0.011151,           0.0068655,           0.0068655,           0.0068655
                  45,            0.035772,             0.05615,           0.0089215,             0.67872,             0.69385,             0.69883,             0.44355,            0.031053,            0.050698,            0.011126,           0.0067778,           0.0067778,           0.0067778
                  46,            0.035669,            0.055489,           0.0088919,             0.71455,             0.66998,             0.70123,             0.44599,            0.031053,            0.050697,             0.01112,             0.00669,             0.00669,             0.00669
                  47,            0.035519,            0.055801,           0.0086843,             0.70558,             0.68726,             0.70213,             0.44622,            0.031017,            0.050698,            0.011129,           0.0066022,           0.0066022,           0.0066022
                  48,            0.035393,            0.054853,           0.0087519,             0.71095,             0.67618,             0.70195,             0.44592,            0.031029,            0.050836,              0.0112,           0.0065144,           0.0065144,           0.0065144
                  49,             0.03551,            0.054157,           0.0084901,             0.71616,             0.67343,             0.70365,             0.44771,            0.031012,            0.050857,            0.011202,           0.0064266,           0.0064266,           0.0064266
                  50,            0.035211,            0.054815,           0.0082306,             0.70942,             0.68432,              0.7046,             0.44857,             0.03098,            0.050848,            0.011219,           0.0063389,           0.0063389,           0.0063389
