               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065538,            0.054575,            0.055713,              0.7721,             0.18294,             0.16113,            0.073228,            0.043768,            0.043789,            0.045414,           0.0033302,           0.0033302,            0.070028
                   1,            0.052041,            0.047379,            0.034404,             0.78951,             0.25633,             0.25637,             0.13647,            0.040199,            0.039123,            0.033515,           0.0066195,           0.0066195,            0.039984
                   2,            0.049161,            0.047507,            0.028093,             0.85865,             0.26424,             0.29809,             0.15446,            0.040263,            0.038573,            0.027831,           0.0098649,           0.0098649,           0.0098963
                   3,            0.045457,            0.046374,            0.024121,             0.81414,             0.32688,             0.35935,             0.19088,            0.038209,            0.037755,            0.022893,            0.009802,            0.009802,            0.009802
                   4,            0.043254,            0.044912,            0.020185,             0.73257,             0.39026,             0.41267,             0.22278,              0.0377,            0.036678,            0.019788,            0.009802,            0.009802,            0.009802
                   5,            0.041644,            0.043219,            0.018351,             0.65808,             0.43926,             0.43316,             0.24563,            0.035896,            0.037208,            0.019262,            0.009736,            0.009736,            0.009736
                   6,             0.04007,            0.042281,             0.01686,              0.7617,             0.47766,             0.52088,             0.29766,            0.033775,            0.033961,            0.015194,             0.00967,             0.00967,             0.00967
                   7,             0.03922,            0.042429,             0.01563,             0.70619,              0.5282,             0.52877,             0.31209,            0.033399,            0.033818,            0.015027,            0.009604,            0.009604,            0.009604
                   8,            0.038694,            0.041387,            0.014776,             0.73278,             0.51239,             0.53827,             0.32273,            0.032404,            0.033384,            0.014412,            0.009538,            0.009538,            0.009538
                   9,            0.037847,            0.040991,            0.013834,              0.7117,              0.5494,             0.54705,             0.32459,             0.03243,            0.033301,            0.013862,            0.009472,            0.009472,            0.009472
                  10,            0.037394,            0.040165,            0.013331,              0.7305,             0.54271,             0.55727,             0.32901,            0.032634,            0.033313,            0.013292,            0.009406,            0.009406,            0.009406
                  11,            0.037054,             0.04023,            0.012958,              0.7369,             0.55019,             0.56864,             0.34589,            0.031544,            0.032679,            0.012719,             0.00934,             0.00934,             0.00934
                  12,            0.036909,            0.039725,            0.012363,             0.74918,             0.55595,             0.60618,             0.36827,            0.031305,            0.032128,            0.011657,            0.009274,            0.009274,            0.009274
                  13,            0.036481,             0.03944,            0.012393,             0.75064,             0.55875,             0.61796,             0.37327,             0.03093,            0.031971,             0.01135,            0.009208,            0.009208,            0.009208
                  14,             0.03622,            0.039347,            0.011842,             0.67346,             0.64314,              0.6366,             0.38683,            0.030885,            0.031829,            0.011062,            0.009142,            0.009142,            0.009142
                  15,            0.036058,            0.039608,             0.01143,              0.7305,             0.61299,             0.63144,             0.38411,            0.030762,            0.032012,            0.011223,            0.009076,            0.009076,            0.009076
                  16,            0.035943,            0.038598,             0.01137,              0.7424,             0.61103,             0.63306,             0.38353,            0.030737,            0.031791,            0.010908,             0.00901,             0.00901,             0.00901
                  17,            0.035536,            0.038441,             0.01104,             0.74779,             0.61673,             0.64231,             0.39222,            0.030729,            0.031583,            0.010765,            0.008944,            0.008944,            0.008944
                  18,            0.035463,            0.038504,            0.010618,             0.75595,             0.62052,             0.64956,             0.39782,            0.030401,            0.031444,            0.010459,            0.008878,            0.008878,            0.008878
                  19,            0.035419,            0.037946,            0.010663,             0.76848,             0.60667,              0.6523,             0.40272,            0.030298,            0.031322,            0.010457,            0.008812,            0.008812,            0.008812
                  20,            0.035183,            0.038232,            0.010558,             0.75162,             0.63949,             0.65931,             0.40816,            0.030201,            0.031278,            0.010091,            0.008746,            0.008746,            0.008746
